401	1	1
1003	1	9
59	1	13
402	2	1
502	2	7
44	2	9
503	2	11
44	2	12
502	2	14
59	2	15
403	3	1
502	4	2
58	4	3
404	4	5
504	4	8
59	4	10
404	5	2
505	5	5
59	5	8
506	6	2
58	6	3
506	6	5
58	6	6
404	6	8
507	6	11
59	6	12
404	7	2
502	7	5
59	7	6
407	8	2
508	8	6
59	8	7
407	9	2
509	9	6
59	9	7
407	10	2
506	10	6
59	10	7
407	11	2
504	11	6
59	11	8
405	12	5
507	12	10
59	12	11
507	13	2
58	13	3
406	13	5
1003	13	10
44	13	14
510	13	16
59	13	18
503	14	2
58	14	3
406	14	5
1004	14	10
44	14	16
511	14	41
59	14	43
405	16	3
512	16	8
59	16	9
408	17	1
46	17	4
